Size, Seq, Par, Libc
431791, 0.430482, 0.421013, 0.441763
431791, 0.440999, 0.363805, 0.530273
865369, 0.796179, 0.650812, 1.102679
865369, 0.837349, 0.691438, 0.934163
365038, 0.377935, 0.312691, 0.437733
365038, 0.373262, 0.278918, 0.437457
667512, 0.750105, 0.561270, 0.842204
667512, 0.716150, 0.518218, 0.848892
445637, 0.453640, 0.441618, 0.542167
445637, 0.450565, 0.366509, 0.547580
7602, 0.006411, 0.046515, 0.008760
7602, 0.006962, 0.051285, 0.008852
686997, 0.748137, 0.541689, 0.856944
686997, 0.721306, 0.517663, 0.886858
906882, 0.963044, 0.835664, 1.207059
906882, 0.937485, 0.757710, 1.156053
608329, 0.697246, 0.497281, 0.782733
608329, 0.649783, 0.740077, 0.760823
123261, 0.126429, 0.146596, 0.138950
123261, 0.115898, 0.123193, 0.139234
506505, 0.528214, 0.421111, 0.627869
506505, 0.538258, 0.402194, 0.634804
797559, 0.876278, 0.740906, 1.030538
797559, 0.925323, 0.873747, 1.121764
632645, 0.663368, 0.519079, 0.795681
632645, 0.683987, 0.565616, 0.797455
533759, 0.581400, 0.607181, 0.664393
533759, 0.548754, 0.493021, 0.656474
924554, 0.958531, 0.950175, 1.183080
924554, 1.009432, 0.973240, 1.261603
470977, 0.489886, 0.431517, 0.574027
470977, 0.486097, 0.472812, 0.577538
549911, 0.573903, 0.661826, 0.695113
549911, 0.574562, 0.435214, 0.691401
840142, 0.905123, 0.638700, 1.134846
840142, 0.936456, 0.724214, 1.063904
314059, 0.309747, 0.268443, 0.378061
314059, 0.306806, 0.258401, 0.373787
596717, 0.613035, 0.426957, 0.739328
596717, 0.620248, 0.432167, 0.739598
54810, 0.047672, 0.047109, 0.057094
54810, 0.049754, 0.043581, 0.057072
456486, 0.452583, 0.351154, 0.554239
456486, 0.463483, 0.369182, 0.553548
134845, 0.125838, 0.102987, 0.150375
134845, 0.124088, 0.109215, 0.150774
244399, 0.237314, 0.206120, 0.295674
244399, 0.231811, 0.185272, 0.285304
574670, 0.608656, 0.440566, 0.708407
574670, 0.603528, 0.452614, 0.706504
8314, 0.006383, 0.030335, 0.008403
8314, 0.007737, 0.055288, 0.009715
309786, 0.312461, 0.277221, 0.366491
309786, 0.310200, 0.238504, 0.365178
222205, 0.227587, 0.194486, 0.256783
222205, 0.227357, 0.164282, 0.256367
325156, 0.327778, 0.227785, 0.385036
325156, 0.325135, 0.254795, 0.386943
369963, 0.381348, 0.304244, 0.443712
369963, 0.359445, 0.292113, 0.443646
973837, 1.042789, 0.878826, 1.248190
973837, 1.047986, 0.749772, 1.244779
