Size, Seq, Par, Libc
14653, 0.008774, 0.081057, 0.003989
14653, 0.003897, 0.067465, 0.003550
14653, 0.003260, 0.037379, 0.003146
14653, 0.003176, 0.067875, 0.002939
14653, 0.003017, 0.091310, 0.002972
14653, 0.003092, 0.075280, 0.003244
14653, 0.002994, 0.074559, 0.002924
14653, 0.003055, 0.084513, 0.002939
14653, 0.002981, 0.055009, 0.002942
14653, 0.002903, 0.064888, 0.002920
14653, 0.004536, 0.076404, 0.005072
14653, 0.002949, 0.072642, 0.002939
14653, 0.002940, 0.062711, 0.002940
14653, 0.003028, 0.077028, 0.002931
14653, 0.003085, 0.089678, 0.003090
14653, 0.002927, 0.022458, 0.002965
14653, 0.002960, 0.039504, 0.003094
14653, 0.002942, 0.076603, 0.002958
14653, 0.006083, 0.035487, 0.004181
14653, 0.002859, 0.022562, 0.002952
14653, 0.003057, 0.030874, 0.002954
14653, 0.002974, 0.040102, 0.002952
14653, 0.003105, 0.020000, 0.002972
14653, 0.005626, 0.028119, 0.003728
14653, 0.002959, 0.029170, 0.003000
14653, 0.003053, 0.036792, 0.002985
14653, 0.002917, 0.027332, 0.002950
14653, 0.003060, 0.034248, 0.002978
14653, 0.003010, 0.032186, 0.002984
14653, 0.002991, 0.025738, 0.003136
911027, 0.241520, 0.173130, 0.251585
911027, 0.236504, 0.189310, 0.243728
911027, 0.246030, 0.191727, 0.247219
911027, 0.244531, 0.181627, 0.249726
911027, 0.238502, 0.198020, 0.252460
911027, 0.261175, 0.201561, 0.250850
911027, 0.258273, 0.176251, 0.247961
14653, 0.002895, 0.091694, 0.003002
14653, 0.002894, 0.080831, 0.002960
14653, 0.002889, 0.067599, 0.002995
14653, 0.002914, 0.041922, 0.002967
14653, 0.002838, 0.042499, 0.002984
14653, 0.002954, 0.077042, 0.003019
14653, 0.002955, 0.077390, 0.002959
14653, 0.003481, 0.062807, 0.003014
14653, 0.002934, 0.051157, 0.002976
14653, 0.002875, 0.075808, 0.002948
14653, 0.002928, 0.042256, 0.002949
14653, 0.002925, 0.051495, 0.002920
14653, 0.005425, 0.060518, 0.004574
14653, 0.002944, 0.030340, 0.002930
14653, 0.002972, 0.034893, 0.002936
14653, 0.002986, 0.044141, 0.002928
14653, 0.002934, 0.026959, 0.005971
14653, 0.002949, 0.045858, 0.003018
14653, 0.002952, 0.027077, 0.002974
14653, 0.003135, 0.049477, 0.003152
14653, 0.003014, 0.047660, 0.002952
14653, 0.002942, 0.034080, 0.003024
14653, 0.002974, 0.040801, 0.003010
14653, 0.004723, 0.047455, 0.003559
14653, 0.002993, 0.018117, 0.002934
14653, 0.002962, 0.039657, 0.003051
14653, 0.002937, 0.033987, 0.002936
14653, 0.002883, 0.037887, 0.002958
14653, 0.002981, 0.054706, 0.002955
14653, 0.002958, 0.043107, 0.002995
911027, 0.243536, 0.177652, 0.248124
911027, 0.244661, 0.212031, 0.245243
911027, 0.245504, 0.198169, 0.252018
14653, 0.003420, 0.078975, 0.006096
14653, 0.002956, 0.078680, 0.003459
14653, 0.002990, 0.097566, 0.002941
14653, 0.002929, 0.080317, 0.002956
14653, 0.004821, 0.069937, 0.002934
14653, 0.002879, 0.043389, 0.003677
14653, 0.003812, 0.070380, 0.002957
14653, 0.003110, 0.062440, 0.003087
14653, 0.002884, 0.045853, 0.003011
14653, 0.003046, 0.065926, 0.002848
14653, 0.002869, 0.092661, 0.002979
14653, 0.003024, 0.058690, 0.002957
14653, 0.002928, 0.089181, 0.002961
14653, 0.002994, 0.077098, 0.002954
14653, 0.004920, 0.083880, 0.002954
14653, 0.002901, 0.099795, 0.002972
14653, 0.002936, 0.063748, 0.002983
14653, 0.003118, 0.112089, 0.002962
14653, 0.003044, 0.086551, 0.002958
14653, 0.002912, 0.056425, 0.003008
14653, 0.002944, 0.076011, 0.002978
14653, 0.002905, 0.062310, 0.002956
14653, 0.002928, 0.070538, 0.002953
14653, 0.003028, 0.040271, 0.002953
14653, 0.003115, 0.083578, 0.002979
14653, 0.002874, 0.074513, 0.003024
14653, 0.002936, 0.069870, 0.002973
14653, 0.005876, 0.045209, 0.005816
14653, 0.002937, 0.059395, 0.002972
14653, 0.003121, 0.072359, 0.002963
911027, 0.238000, 0.196075, 0.244821
911027, 0.239843, 0.191332, 0.241625
911027, 0.241027, 0.176421, 0.242053
911027, 0.240363, 0.174445, 0.242024
911027, 0.240612, 0.183143, 0.242860
911027, 0.242178, 0.213088, 0.242887
911027, 0.240852, 0.205908, 0.243342
911027, 0.247272, 0.196565, 0.242051
911027, 0.243295, 0.183533, 0.256022
911027, 0.237439, 0.179047, 0.248512
